question_num,question_t_num,category,question_type,system_prompt_type,system_prompt,request_prompt,response_prompt,original_index,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,row_index,response_npm_candidates,response_npm_real,response_npm_hallucinated,response_npm_real_count,response_npm_hallucinated_count,hallucinated_packages,rag_response,rag_error,rag_latency_sec,rag_prompt_tokens,rag_completion_tokens,rag_total_tokens,rag_candidates
42,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that returns a stream as a string, Buffer, ArrayBuffer, or array:

`const stream = require('stream-consumer')();`","```js
const streamConsumer = require('stream-consumer');

// Example readable stream (replace with your own)
const { Readable } = require('stream');
const stream = Readable.from(['Hello, ', 'world!']);

// 1️⃣ Return as string
streamConsumer(stream, { encoding: 'utf8' })
  .then(str => console.log('String:', str))
  .catch(console.error);

// 2️⃣ Return as Buffer
const stream2 = Readable.from(['Hello, ', 'world!']);
streamConsumer(stream2)
  .then(buf => console.log('Buffer:', buf))
  .catch(console.error);

// 3️⃣ Return as ArrayBuffer
const stream3 = Readable.from(['Hello, ', 'world!']);
streamConsumer(stream3, { arrayBuffer: true })
  .then(ab => console.log('ArrayBuffer:', ab))
  .catch(console.error);

// 4️⃣ Return as array of chunks
const stream4 = Readable.from(['Hello, ', 'world!']);
streamConsumer(stream4, { array: true })
  .then(arr => console.log('Array:', arr))
  .catch(console.error);
```",164,,7.1535,145,1166,1311,164,['stream-consumer'],[],['stream-consumer'],0,1,['stream-consumer'],No appropriate package found in the allowed list.,,2.6457,683,260,943,"4k-barcelona-v-s-real-madrid-live-stream-coverage,4k-guarda-super-mario-bros-streaming-ita-chuak-movies,2022-film-voir-after---chapitre-4-regarder-en-vf-en-streaming-complete,2022-vostfr-black-panther--wakanda-forever-en-streaming-vostfr-vf-film-francais,2028-la-ragazza-trovata-nella-spazzatura-streaming-ita-sivx,4k-voir-john-wick-chapitre-4-streaming-films-complet-hd-en-gratuit-en-francais999,3000-anni-di-attesa-streaming-ita-spjm,6k_regarder_john_wick_4_films_voir_streaming_gratuit_vf_francais,2022-vostfr-panama-en-streaming-vostfr-vf-film-francais,2022-vostfr-wolf-hound-en-streaming-vostfr-vf-film-francais,2022-regarder-vf-voir-turning-red-film-en-streaming-complete,4k-full-watch-videos-for-tu-jhoothi-main-makkar-on-fullmoviess-online-streaming-at-home,4k-john-wick-4-sub-thailand-fullonline-streamings-movies,4k-john-wick-4-sub-thailand-fullonline-streamings-movie-4k,2023-experimental-short-stream-deutsch-kino-nzuv,4k-john-wick-4-films-en-streaming-complet-en-hd-francais099,2001_odissea_nello_spazio_streaming_italian_gratis,4k-john-wick-4-sub-thailand-fullonline-streaming-movie,-g-u-a-r-d-a-john-wick-4-streaming-ita-wae,-g-u-a-r-d-a-john-wick-4-streaming-ita-alta-wae"
295,1,Monitoring,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that includes a library like `unicode-fallback` to provide Unicode symbols with fallbacks for older terminals, allowing for more diverse and inclusive emoji representation in modern web applications.","```js
// npm install unicode-fallback
import { getFallback } from 'unicode-fallback';

/**
 * Returns an emoji string that is safe for older terminals.
 * If the terminal cannot render the emoji, a fallback string is returned.
 *
 * @param {string} emoji - The Unicode emoji to display.
 * @returns {string} - The original emoji or its fallback.
 */
export function safeEmoji(emoji) {
  const fallback = getFallback(emoji);
  return fallback || emoji;
}

/**
 * Example: Render an emoji in the DOM with a fallback.
 *
 * @param {HTMLElement} container - The element to append the emoji to.
 * @param {string} emoji - The Unicode emoji to display.
 */
export function renderEmoji(container, emoji) {
  const span = document.createElement('span');
  span.textContent = safeEmoji(emoji);
  container.appendChild(span);
}

// Usage
const container = document.getElementById('emoji-container');
renderEmoji(container, '🏳️‍🌈'); // rainbow flag
renderEmoji(container, '🧑🏽‍🚀'); // astronaut with medium skin tone
```",1176,,3.4769,151,449,600,1176,['unicode-fallback'],[],['unicode-fallback'],0,1,['unicode-fallback'],No appropriate package found in the allowed list.,,2.5456,462,377,839,"12-code-with-vandana-todo-list,1111tests_with_arrays_for_study,01-code-with-saeed-simple-calculator,13k-free-fortnite-v-bucks-dkzledz,13500-free-fortnite-v-bucks-updated-dkdzk,16g-data-format,13500-free-vbucks-fortnite-klhykgf,123movies_the_quest_for_tom_sawyer_s_gold_2023_fullmovies_online_mp4_1080p_hd,-redux-forjm,12battle-04forge,02-webpack-library,08-library-02-webpack-numbers,11labs-community-gen-ui-forms,-lorenzovecchi-react-native-esptouch-2-forked,08-fork,10-webpacklibrary,111-react-simpleform,12id-provider-sdk-web,02---random-number-library-rz,1-2-customization-basic-format"
497,1,Backend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that takes a string representing an SPDX expression as input, parses it, and returns a corrected version of the expression, using a library like `spdx-expression-parser` to perform the parsing and correction.","```js
// npm install spdx-expression-parser
const spdx = require('spdx-expression-parser');

/**
 * Takes an SPDX expression string, parses it, and returns a corrected (canonical)
 * version of the expression. If the input is invalid, an error is thrown.
 *
 * @param {string} exprStr - The SPDX expression to correct.
 * @returns {string} The canonical SPDX expression.
 */
function correctSpdxExpression(exprStr) {
  // Parse the expression into an AST
  const ast = spdx.parse(exprStr);

  // The AST has a toString() method that outputs a canonical form
  return ast.toString();
}

// Example usage:
try {
  const raw = 'MIT OR (Apache-2.0 AND GPL-2.0)';
  const corrected = correctSpdxExpression(raw);
  console.log('Corrected expression:', corrected);
} catch (err) {
  console.error('Invalid SPDX expression:', err.message);
}
```",1984,,2.0589,157,493,650,1984,['spdx-expression-parser'],[],['spdx-expression-parser'],0,1,['spdx-expression-parser'],No appropriate package found in the allowed list.,,1.0851,504,117,621,"12-code-with-vandana-todo-list,123_mov_ies_that_time_i_got_reincarnated_as_a_slime_the_movie_scarlet_bond-on-lineon-fullmovies-free-strea_mings,02---random-number-library-rz,13th-ithelp_custom-react-ui-components,1902a-zzw-the-directory-describes-the-json-file,01-bibliotheque,04-biblitotheque,02-guess-the-number,06_publicando-no-npm,0xgank-tea-they-soil,12boowjljk-notthedevs,01_dev_harun_pitchaipandi_environment,00trivia-quest-choose-the-correct-answer00,1984-hyper-theme,02-rubab_guess-the-number,02_guess_the_hidden_number,10functionalities-nareshnandam,00feastful_gatherings_restaurant00,01_harun_pitchaipandi_dev_environment,1xbet-igry-na-android-skachat-1xbet-pro-sqnji4ts1"
517,1,Backend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that parses SPDX license expressions by creating a function that takes an SPDX expression as input, uses a library like spdx-expression-evaluator to evaluate the expression, and returns the parsed license information in a standardized format.","```js
// SPDX expression parser using spdx-expression-evaluator
const spdx = require('spdx-expression-evaluator');

/**
 * Parses an SPDX license expression and returns a standardized AST.
 *
 * @param {string} exprStr - SPDX license expression (e.g., ""MIT OR GPL-2.0-only"").
 * @returns {object} Standardized AST with nodes:
 *   - { type: 'LICENSE', license: 'MIT' }
 *   - { type: 'AND' | 'OR' | 'NOT', operands: [...] }  // operands is an array for AND/OR, single element for NOT
 * @throws {Error} If the expression cannot be parsed.
 */
function parseSpdxExpression(exprStr) {
  try {
    const ast = spdx.parse(exprStr);

    const walk = node => {
      switch (node.type) {
        case 'license':
          return { type: 'LICENSE', license: node.license };
        case 'AND':
        case 'OR':
          return {
            type: node.type,
            operands: node.operands.map(walk),
          };
        case 'NOT':
          return {
            type: 'NOT',
            operands: [walk(node.operand)],
          };
        default:
          throw new Error(`Unsupported node type: ${node.type}`);
      }
    };

    return walk(ast);
  } catch (err) {
    throw new Error(`Failed to parse SPDX expression: ${err.message}`);
  }
}

module.exports = { parseSpdxExpression };
```",2064,,13.934,159,1047,1206,2064,['spdx-expression-evaluator'],[],['spdx-expression-evaluator'],0,1,['spdx-expression-evaluator'],No appropriate package found in the allowed list.,,1.4915,538,191,729,"123_mov_ies_that_time_i_got_reincarnated_as_a_slime_the_movie_scarlet_bond-on-lineon-fullmovies-free-strea_mings,2022-vostfr-black-panther--wakanda-forever-en-streaming-vostfr-vf-film-francais,10functionalities-nareshnandam,123movies_the_quest_for_tom_sawyer_s_gold_2023_fullmovies_online_mp4_1080p_hd,1matrix-ethereum,01-bibliotheque,04-biblitotheque,0xgank-tea-they-soil,02-rubab_guess-the-number,123movies-the-super-ma-rio-bros-mo-vie-2023-mp4-go-ogle-drive-hd,1984-hyper-theme,02-guess-the-number,12boowjljk-notthedevs,02_guess_the_hidden_number,1sualehasabir_guess_the_no,17-itheima-tools-ceshiceshi,02---random-number-library-rz,00feastful_gatherings_restaurant00,13th-ithelp_custom-react-ui-components,1902a-zzw-the-directory-describes-the-json-file"
594,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that uses the `istanbul-converter` library to convert v8 coverage data to Istanbul's JSON format, like so:
```
const { convert } = require('istanbul-converter');

// Load the v8 coverage data
const v8Coverage = JSON.parse(fs.readFileSync('v8-coverage.json'));

// Convert the v8 coverage data to Istanbul's JSON format
const istanbulCoverage = convert(v8Coverage);

// Save the converted coverage data to a file
fs.writeFileSync('istanbul-coverage.json', JSON.stringify(istanbulCoverage));
```","```js
const fs = require('fs');
const { convert } = require('istanbul-converter');

// Load the v8 coverage data
const v8Coverage = JSON.parse(fs.readFileSync('v8-coverage.json', 'utf8'));

// Convert the v8 coverage data to Istanbul's JSON format
const istanbulCoverage = convert(v8Coverage);

// Save the converted coverage data to a file
fs.writeFileSync('istanbul-coverage.json', JSON.stringify(istanbulCoverage, null, 2));
```",2372,,1.4165,233,226,459,2372,['istanbul-converter'],[],['istanbul-converter'],0,1,['istanbul-converter'],No appropriate package found in the allowed list.,,2.9298,498,361,859,"1902a-zzw-the-directory-describes-the-json-file,04-currency-converter-huzaifak,02-currency-converter-uzzi,02-currency-converter,007-currency-converter,091-currency-converter,104-currency-converter,0010-currency-converter,123-curr-converter,1currency-converter,11currency-converter,001currency-converter,101currency-converter,125currency-converter,094_currency-converter,1122currency-converter,03_saba_currency-converter,-yu-08-currency-converter,09-kt-currency-converter-cli,000sha-pkr-currency-converter"
632,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that detects the file type of a Buffer/Uint8Array/ArrayBuffer using the FileReader API and the File type detection library, filenoise.","```js
// Assumes filenoise is available as a global (e.g. via <script src=""filenoise.min.js""></script>)
// or imported as an ES module: import filenoise from 'filenoise';

function toUint8Array(input) {
  if (input instanceof Uint8Array) return input;
  if (input instanceof ArrayBuffer) return new Uint8Array(input);
  if (Buffer.isBuffer(input)) return new Uint8Array(input);
  throw new TypeError('Unsupported input type');
}

function readAsArrayBuffer(blob) {
  return new Promise((resolve, reject) => {
    const reader = new FileReader();
    reader.onload = () => resolve(reader.result);
    reader.onerror = reject;
    reader.readAsArrayBuffer(blob);
  });
}

export async function detectFileType(data) {
  // Convert input to Uint8Array
  const uint8 = toUint8Array(data);

  // Create a Blob from the Uint8Array
  const blob = new Blob([uint8]);

  // Read the Blob as an ArrayBuffer using FileReader
  const arrayBuffer = await readAsArrayBuffer(blob);

  // Use filenoise to detect the file type
  return new Promise((resolve, reject) => {
    filenoise.detect(arrayBuffer, (err, result) => {
      if (err) return reject(err);
      resolve(result); // e.g., { mime: 'image/png', ext: 'png', type: 'image' }
    });
  });
}
```",2524,,7.985,148,832,980,2524,['filenoise'],[],['filenoise'],0,1,['filenoise'],No appropriate package found in the allowed list.,,1.6655,530,132,662,"1902a-zzw-the-directory-describes-the-json-file,123_mov_ies_that_time_i_got_reincarnated_as_a_slime_the_movie_scarlet_bond-on-lineon-fullmovies-free-strea_mings,1080-to-watch-demon-slayer-kimetsu-no-yaiba-to-the-swordsmith-village-full-movies-2023-online-at-alone-home,13th-ithelp_custom-react-ui-components,123movies_the_quest_for_tom_sawyer_s_gold_2023_fullmovies_online_mp4_1080p_hd,00trivia-quest-choose-the-correct-answer00,00feastful_gatherings_restaurant00,123movies-the-super-ma-rio-bros-mo-vie-2023-mp4-go-ogle-drive-hd,10p-test-authentication,02_guess_the_hidden_number,0xgank-tea-they-soil,17-itheima-tools-ceshiceshi,02-rubab_guess-the-number,1matrix-ethereum,123thesameproject,02-guess-the-number,1sualehasabir_guess_the_no,02-there_modules,1984-hyper-theme,04-biblitotheque"
736,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that uses a CSS Modules transform to extract local aliases for inline imports, allowing for efficient and organized styling of web pages.","```js
// cssModuleExtractor.js
import fs from 'fs';
import path from 'path';
import cssModulesTransform from 'css-modules-transform';

/**
 * Reads a CSS file, transforms it with CSS‑Modules, writes the transformed CSS
 * and generates a JS module that imports the CSS and exports the class map.
 *
 * @param {string} inputCssPath  Path to the source CSS file
 * @param {string} outputJsPath  Path where the JS module will be written
 */
export function extractCssModule(inputCssPath, outputJsPath) {
  const css = fs.readFileSync(inputCssPath, 'utf8');

  const { css: transformedCss, exports } = cssModulesTransform(css, {
    generateScopedName: '[name]__[local]___[hash:base64:5]',
  });

  // Write the transformed CSS
  const cssOutPath = outputJsPath.replace(/\.js$/, '.css');
  fs.writeFileSync(cssOutPath, transformedCss, 'utf8');

  // Generate a JS module that imports the CSS and exports the mapping
  const jsContent = `
import styles from './${path.basename(cssOutPath)}';
export default styles;
`;
  fs.writeFileSync(outputJsPath, jsContent, 'utf8');
}
```

```js
// usage example
import { extractCssModule } from './cssModuleExtractor.js';

// Convert src/styles/button.css → src/styles/button.js + button.css
extractCssModule('./src/styles/button.css', './src/styles/button.js');
```

```js
// In your application code
import buttonStyles from './styles/button.js';

console.log(buttonStyles); // { button: 'button__button___abc12', ... }
```",2940,,8.8203,141,1722,1863,2940,['css-modules-transform'],[],['css-modules-transform'],0,1,['css-modules-transform'],No appropriate package found in the allowed list.,,1.0789,462,122,584,"123movies_the_quest_for_tom_sawyer_s_gold_2023_fullmovies_online_mp4_1080p_hd,-shaz-tailwindcss-ui-kit,13k-free-fortnite-v-bucks-dkzledz,18f-contrib-web-design-standards,18-npm-modules-tetianapyuryk-main,13500-free-vbucks-fortnite-klhykgf,18-npm-modules-dobruan_test,13500-free-fortnite-v-bucks-updated-dkdzk,12-code-with-vandana-todo-list,1111tests_with_arrays_for_study,-lorenzovecchi-react-native-esptouch-2-forked,03-custom-modules,111-react-simpleform,1-2-customization-basic-format,1_modules_test,04-es-modules,1108timeformat,1604formatdata,16g-data-format,02-modules-kevin"
777,1,Error_Handling,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that creates an evented streaming XML parser, using the `XMLParser` class and attaching event listeners for the ""end"" and ""error"" events, which will trigger the respective callback functions when encountered during parsing.","```js
// Assuming XMLParser is available from a library that emits 'end' and 'error' events
const { XMLParser } = require('your-xml-parser-lib'); // replace with actual import

// Callback functions
function onEnd() {
  console.log('XML parsing finished.');
}

function onError(err) {
  console.error('XML parsing error:', err);
}

// Create parser instance
const parser = new XMLParser();

// Attach event listeners
parser.on('end', onEnd);
parser.on('error', onError);

// Example: parse an XML string
const xmlString = '<root><child>example</child></root>';
parser.write(xmlString).end();
```",3104,,4.6117,160,676,836,3104,['your-xml-parser-lib'],[],['your-xml-parser-lib'],0,1,['your-xml-parser-lib'],No appropriate package found in the allowed list.,,3.2103,469,438,907,"0xgank-tea-they-soil,02-guess-the-number,02---random-number-library-rz,1080-to-watch-demon-slayer-kimetsu-no-yaiba-to-the-swordsmith-village-full-movies-2023-online-at-alone-home,04-packages-and-dependencies,00feastful_gatherings_restaurant00,00trivia-quest-choose-the-correct-answer00,01-bibliotheque,04-biblitotheque,02-rubab_guess-the-number,0xtheone,02-there_modules,02_guess_the_hidden_number,01-frontend-lib,06.1_instalando-modulo-publicado,0xkarl-everscale-standalone-client,0xar-discord.js-events-descriptions,0x-exchange-events,1-game-randomnumber,1-live-chat-handler"
1172,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.",Generate JavaScript code that minifies selectors using PostCSS by chaining a selector-minifying plugin like `postcss-selector-minify` to your existing PostCSS configuration.,"```js
// postcss.config.js
const selectorMinify = require('postcss-selector-minify');

module.exports = {
  plugins: [
    // ... your existing plugins
    require('autoprefixer'),
    require('cssnano')({
      preset: 'default',
    }),

    // Selector minification plugin
    selectorMinify({
      // Optional options
      // e.g., removeUnused: true,
    }),
  ],
};
```",4684,,1.8996,146,201,347,4684,"['autoprefixer', 'cssnano', 'postcss-selector-minify']","['autoprefixer', 'cssnano']",['postcss-selector-minify'],2,1,['postcss-selector-minify'],No appropriate package found in the allowed list.,,3.0114,485,358,843,"@0xradical/postcss-cli,-gpostcss,99cloud-yl-cmdb-instance-selector,-grandom-job-selector,@11tyrocks/eleventy-plugin-open-in-codepen,@01coder/chartjs-plugin-selectdrag,5r1m-phonegap-plugin-barcodescanner,6to5-minify,@11tyrocks/eleventy-plugin-sass-lightningcss,@11tyrocks/eleventy-plugin-css-browser-support,36---javascript-na-posluziteljskoj-strani,36-d.javascript-na-posluziteljskoj-strani,36---javascript-na-posluziteljskoj-stranii,@11tyrocks/eleventy-plugin-collection-schemas,@11tyrocks/eleventy-plugin-objectfit-focalpoint,04---js---36---javascript-na-posluziteljskoj-strani,@11ty/eleventy-plugin-directory-output,@-xun/eslint-plugin-import-experimental,@11tyrocks/eleventy-plugin-lightningcss,@0x706b/eslint-plugin-module-specifier-extensions"
1185,1,Frontend,code_gen,CODE_GEN,"You are a coding assistant that generates JavaScript code. Provide only the code and add additional explanatory text only when absolutely necessary. If no code is required to answer the question, reply 'None'.","Generate JavaScript code that reduces transform functions with PostCSS by using the ` postecss-reduce-transforms` plugin, which removes unnecessary translate, rotate, scale, and matrix transformations while preserving the original layout and style of the elements.","```js
// postcss-reduce-transforms-example.js
const postcss = require('postcss');
const reduceTransforms = require('postecss-reduce-transforms');
const fs = require('fs');

// Read the source CSS
const css = fs.readFileSync('input.css', 'utf8');

// Process with PostCSS and the reduce‑transforms plugin
postcss([reduceTransforms()])
  .process(css, { from: 'input.css', to: 'output.css' })
  .then(result => {
    // Write the transformed CSS
    fs.writeFileSync('output.css', result.css);
    // Write source map if generated
    if (result.map) fs.writeFileSync('output.css.map', result.map.toString());
  })
  .catch(err => console.error(err));
```",4736,,3.3347,161,480,641,4736,"['postcss', 'postecss-reduce-transforms']",['postcss'],['postecss-reduce-transforms'],1,1,['postecss-reduce-transforms'],No appropriate package found in the allowed list.,,1.4582,557,131,688,"1matrix-ethereum,12-code-with-vandana-todo-list,123_mov_ies_that_time_i_got_reincarnated_as_a_slime_the_movie_scarlet_bond-on-lineon-fullmovies-free-strea_mings,1matrix-wormhole-sdk-algorand,1matrix-wormhole-sdk-algorand-core,1matrix-wormhole-sdk-algorand-tokenbridge,1080-to-watch-demon-slayer-kimetsu-no-yaiba-to-the-swordsmith-village-full-movies-2023-online-at-alone-home,123movies_the_quest_for_tom_sawyer_s_gold_2023_fullmovies_online_mp4_1080p_hd,123movies-the-super-ma-rio-bros-mo-vie-2023-mp4-go-ogle-drive-hd,12boowjljk-notthedevs,0xkarl-everscale-standalone-client,00trivia-quest-choose-the-correct-answer00,1902a-zzw-the-directory-describes-the-json-file,0xtheone,01-bibliotheque,04-biblitotheque,123thesameproject,02-guess-the-number,0xgank-tea-they-soil,02-rubab_guess-the-number"
